nmot_w,mshfm_w,rl_w,rlsol_w,pvdkds_w,plsol_w,lamsoni_w,lamsbg_w,tikatm_w
3911.25,6.91667,12.9609,13.5,1070.59,1010.0,4.00001,1.04688,845.72
3839.25,6.66667,12.9609,13.5,1070.55,1010.0,4.00001,1.04688,845.72
3739.0,6.80556,12.7734,13.5,1070.55,1010.0,4.00001,1.04688,845.72
3663.0,6.52778,12.7734,13.5,1067.54,1009.96,4.00001,1.04688,845.72
3562.25,6.52778,12.7031,13.5,1067.54,1009.96,4.00001,1.04688,845.798
3492.75,6.55556,12.7266,13.5,1067.54,1009.96,4.00001,1.04688,845.798
3415.5,6.36112,12.7969,13.5,1067.54,1009.96,4.00001,1.04688,845.798
3323.0,6.16667,12.8203,13.5,1067.5,1009.96,4.00001,1.04688,845.857
3254.5,5.97223,12.8672,13.5,1064.49,1009.96,4.00001,1.04688,845.857
3187.0,6.16667,12.8672,13.5,1064.49,1009.96,4.00001,1.04688,845.857
3093.5,5.33334,12.9844,13.5,1061.48,1009.96,4.00001,1.04688,845.857
3036.25,5.61112,12.8906,13.5,1061.48,1009.96,4.00001,1.04688,845.896
2976.75,5.83334,12.7969,14.25,1058.44,1009.96,4.00001,1.04688,845.896
2953.5,5.80556,12.6563,14.25,1058.44,1009.96,4.00001,1.04688,845.896
3004.75,6.05556,12.6328,14.25,1055.39,1009.96,4.00001,1.04688,845.916
3082.5,6.69445,12.6328,14.25,1055.39,1009.96,4.00001,1.04688,845.916
